"","Title","First Author","Last Author","Journal","Year","First Author First Name","First Author Gender","First Author Accuracy","First Author Samples","Last Author First Name","Last Author Gender","Last Author Accuracy","Last Author Samples"
"1","1) Efficacy of Repeated Low-Level Red-Light Therapy for Slowing the Progression of Childhood Myopia: A Systematic Review and Meta-analysis.","Jie Tang","Wei Wang","American journal of ophthalmology",2023,"Jie","male",61,1651,"Wei","male",73,4003
"2","2) Review of Fibrosis in Neovascular Age-Related Macular Degeneration.","Kai Xiong Cheong","Kelvin Yi Chong Teo","American journal of ophthalmology",2023,"Kai","male",91,30737,"Kelvin","male",99,14406
"3","4) IMPG2-Related Maculopathy.","Johannes Birtel","Peter Charbel Issa","American journal of ophthalmology",2023,"Johannes","male",99,7870,"Peter","male",99,146529
"4","5) Systematic Review and Meta-analysis: Outcomes After Descemet Membrane Endothelial Keratoplasty Versus Ultrathin Descemet Stripping Automated Endothelial Keratoplasty.","Anna-Karina B Maier","Gregor Lichtner","American journal of ophthalmology",2023,"Anna-Karina","female",100,14,"Gregor","male",99,3274
"5","6) CRB1-Associated Retinal Dystrophies: Genetics, Clinical Characteristics, and Natural History.","Malena Daich Varela","Michel Michaelides","American journal of ophthalmology",2023,"Malena","female",98,1687,"Michel","male",96,68146
"6","7) Childhood-Onset Leber Hereditary Optic Neuropathy-Clinical and Prognostic Insights.","Piero Barboni","Patrick Yu-Wai-Man","American journal of ophthalmology",2023,"Piero","male",99,12229,"Patrick","male",99,118290
"7","8) Clinical and Molecular Features of a Chinese Cohort With Syndromic and Nonsyndromic Retinal Dystrophies Related to the CEP290 Gene.","Tian Zhu","Ruifang Sui","American journal of ophthalmology",2023,"Tian","male",69,1301,"Ruifang","female",73,11
"8","9) Relationship Between the American Board of Ophthalmology Maintenance of Certification Program and Actions Against the Medical License.","Bhavna P Sheth","George B Bartley","American journal of ophthalmology",2023,"Bhavna","female",99,680,"George","male",99,63411
"9","10) The Diagnostic Yield of Next Generation Sequencing in Inherited Retinal Diseases: A Systematic Review and Meta-analysis.","Alexis Ceecee Britten-Jones","Lauren N Ayton","American journal of ophthalmology",2023,"Alexis","male",77,31202,"Lauren","female",97,25933
"10","11) Small Incision Lenticule Extraction (SMILE) Versus Laser Assisted Stromal In Situ Keratomileusis (LASIK) for Astigmatism Corrections: A Systematic Review and Meta-analysis.","Jiaxin Song","Yan Wang","American journal of ophthalmology",2023,"Jiaxin","female",72,60,"Yan","male",75,8519
"11","13) Accuracy of Intraocular Lens Power Calculation in Pediatric Secondary Implantation: In-the-Bag Versus Sulcus Placement.","Zhenzhen Liu","Yizhi Liu","American journal of ophthalmology",2023,"Zhenzhen","female",93,57,"Yizhi","male",87,15
"12","14) Association Between Glycemic Traits and Primary Open-Angle Glaucoma: A Mendelian Randomization Study in the Japanese Population.","Akiko Hanyuda","Motoki Iwasaki","American journal of ophthalmology",2023,"Akiko","female",97,629,"Motoki","male",99,109
"13","15) Five-Year Visual Field Outcomes of the HORIZON Trial.","Giovanni Montesano","Gus Gazzard","American journal of ophthalmology",2023,"Giovanni","male",99,71282,"Gus","male",97,3402
"14","16) Risk of Subsequent Dementia or Alzheimer Disease Among Patients With Age-Related Macular Degeneration: A Systematic Review and Meta-analysis.","Hou-Ren Tsai","Yuan-Chieh Lee","American journal of ophthalmology",2023,"Hou-Ren","male",75,2935,"Yuan-Chieh","male",58,1745
"15","17) A Review of the Prevalence of Ophthalmologic Diseases in Native American Populations.","Alyssa M Miller","Manjot K Gill","American journal of ophthalmology",2023,"Alyssa","female",99,8542,"Manjot","male",69,223
"16","18) Myopia Control Efficacy of Spectacle Lenses With Aspherical Lenslets: Results of a 3-Year Follow-Up Study.","Xue Li","Jinhua Bao","American journal of ophthalmology",2023,"Xue","female",74,494,"Jinhua","female",83,98
"17","19) Retinal Vascular Occlusion Risks in High Blood Pressure and the Benefits of Blood Pressure Control.","Hae Rang Kim","Yong Joon Kim","American journal of ophthalmology",2023,"Hae","male",51,104,"Yong","male",87,2262
"18","20) AAV2-Mediated Gene Therapy for Choroideremia: 5-Year Results and Alternate Anti-sense Oligonucleotide Therapy.","Yi Zhai","Ian M MacDonald","American journal of ophthalmology",2023,"Yi","male",63,1397,"Ian","male",99,34076
"19","21) Extended Depth of Focus Versus Trifocal for Intraocular Lens Implantation: An Updated Systematic Review and Meta-Analysis.","Mohammad Karam","Samir Jabbour","American journal of ophthalmology",2023,"Mohammad","male",99,47598,"Samir","male",98,46591
"20","22) Visual Outcomes and Optical Coherence Tomography Biomarkers of Vision Improvement in Patients With Leber Hereditary Optic Neuropathy Treated With Idebenone.","Enrico Borrelli","Piero Barboni","American journal of ophthalmology",2023,"Enrico","male",99,21620,"Piero","male",99,12229
"21","25) Gender Distribution and Trends of Ophthalmology Subspecialties, 1992-2020.","Benjamin J Steren","Ninani Kombo","American journal of ophthalmology",2023,"Benjamin","male",99,50718,"Ninani","female",75,4
"22","26) KESTREL and KITE Phase 3 studies: 100-week results with brolucizumab in patients with diabetic macular edema.","Charles C Wykoff","David M Brown","American journal of ophthalmology",2023,"Charles","male",98,52754,"David","male",99,381770
"23","29) Incidence and Characteristics of Facial and Ophthalmic Injuries From Domestic Mammal Bites: Parts of the data in the manuscript were presented at the American Academy of Ophthalmology Annual Meeting, 2022.","Clara M Castillejo Becerra","Elizabeth A Bradley","American journal of ophthalmology",2023,"Clara","female",97,22929,"Elizabeth","female",99,44677
"24","30) Optical Coherence Tomography Biomarkers for Conversion to Exudative Neovascular Age-related Macular Degeneration.","Yu Wakatsuki","Srinivas R Sadda","American journal of ophthalmology",2023,"Yu","male",62,3415,"Srinivas","male",100,5725
"25","31) Design and Conduct of Randomized Clinical Trials Evaluating Surgical Innovations in Ophthalmology: A Systematic Review.","Augusto Azuara-Blanco","Noemi Lois","American journal of ophthalmology",2023,"Augusto","male",99,7854,"Noemi","female",99,15301
"26","32) Two-Year Visual Field Outcomes of the Treatment of Advanced Glaucoma Study (TAGS).","Giovanni Montesano","David P Crabb","American journal of ophthalmology",2023,"Giovanni","male",99,71282,"David","male",99,381770
"27","33) Visual Outcomes Following Plasma Exchange for Optic Neuritis: An International Multicenter Retrospective Analysis of 395 Optic Neuritis Attacks.","John J Chen","Romain Marignier","American journal of ophthalmology",2023,"John","male",99,219085,"Romain","male",99,34363
"28","34) Optimized Artificial Intelligence for Enhanced Ectasia Detection Using Scheimpflug-Based Corneal Tomography and Biomechanical Data.","Renato Ambrósio","Bernardo T Lopes","American journal of ophthalmology",2023,"Renato","male",99,18510,"Bernardo","male",99,8270
"29","36) Female Authorship and Ophthalmology Journal Editorial Board Membership Trends Over the Last Decade, 2012-2021.","Paola A Rivera","Ninani Kombo","American journal of ophthalmology",2023,"Paola","female",98,34326,"Ninani","female",75,4
"30","38) Prevalence of Visual Impairment and Availability of Eye Care Providers in Florida.","Annika J Patel","Jayanth Sridhar","American journal of ophthalmology",2023,"Annika","female",99,13764,"Jayanth","male",100,586
"31","39) Deep Optic Nerve Head Structures Associated With Increasing Axial Length in Healthy Myopic Eyes of Moderate Axial Length.","Hitomi Saito","Robert N Weinreb","American journal of ophthalmology",2023,"Hitomi","female",95,444,"Robert","male",99,145540
"32","40) Schools, Children and Myopia.","Nathan Congdon","Ving Fai Chan","American journal of ophthalmology",2023,"Nathan","male",99,29365,"Ving","male",69,29
"33","41) Compassionomics: The Science and Practice of Caring.","Ines Lains","Mark W Johnson","American journal of ophthalmology",2023,"Ines","female",98,17120,"Mark","male",80,5
"34","42) NSAIDs and corticosteroids for the postoperative management of age-related cataract surgery: a systematic review and meta-analysis.","Joe El Haddad","Yassine J Daoud","American journal of ophthalmology",2023,"Joe","male",97,69132,"Yassine","male",97,20704
"35","43) Effectiveness of Propranolol in Preventing Severe Retinopathy of Prematurity: A Comprehensive Systematic Review and Meta-Analysis.","Muhammad Ashir Shafique","Muhammad Saqlain Mustafa","American journal of ophthalmology",2023,"Muhammad","male",99,60005,"Muhammad","male",99,60005
"36","44) Blinding Xanthoma Disseminatum.","Khaled G Abueleinen","Mona R E Abdel-Halim","American journal of ophthalmology",2023,"Khaled","male",98,34931,"Mona","female",96,14965
"37","45) Congenital Aniridia and Ocular motility.","Munirah Alafaleq","Dominique Bremond-Gignac","American journal of ophthalmology",2023,"Munirah","female",99,147,"Dominique","male",57,37520
"38","46) LGBTQ+ Identity and Ophthalmologist Burnout.","Ta C Chang","Elizabeth A Vanner","American journal of ophthalmology",2023,"Ta","male",57,1811,"Elizabeth","female",99,44677
"39","47) Sex Differences and Discordance Between Symptoms and Signs of Dry Eye Disease.","Pei-Ting Lu","Chi-Chin Sun","American journal of ophthalmology",2023,"Pei-Ting","female",67,2207,"Chi-Chin","female",50,4364
"40","48) Gel Stent Versus Trabeculectomy: The Randomized, Multicenter, Gold-Standard Pathway Study (GPS) of Effectiveness and Safety at 12 Months.","Arsham Sheybani","Mark J Gallardo","American journal of ophthalmology",2023,"Arsham","male",99,186,"Mark","male",80,5
"41","49) Efficacy of Adjuvants in Ophthalmic Regional Anesthesia: A Systematic Review and Network Meta-analysis.","Jan-Philipp Bodenbender","Hanns-Christian Dinges","American journal of ophthalmology",2023,"Jan-Philipp","male",100,65,"Hanns-Christian","male",99,95149
"42","50) Comprehensive Genotyping and Phenotyping Analysis of GUCY2D-Associated Rod- and Cone-Dominated Dystrophies.","Cristina Rodilla","Marta Corton","American journal of ophthalmology",2023,"Cristina","female",98,70974,"Marta","female",98,84333
"43","51) Cost and Prescriber and Patient Characteristics of Cenegermin Use in the Medicare Population.","Xi Dai","Fasika Woreta","American journal of ophthalmology",2023,"Xi","male",52,575,"Fasika","male",53,53
"44","52) Large Internal Limiting Membrane Tears: Prevalence, Clinical Characteristics, and Surgical Utility.","Asad F Durrani","Mark W Johnson","American journal of ophthalmology",2023,"Asad","male",98,7065,"Mark","male",80,5
"45","54) Evaluation of Quality of Systematic Reviews and Meta-Analyses Abstracts for Pediatric Strabismus Therapies.","Simran Demla","Matt Vassar","American journal of ophthalmology",2023,"Simran","female",79,1889,"Matt","male",100,57301
"46","55) The blinq™ Vision Screener in Detection of Amblyopia and Strabismus.","Savannah Reaves Monahan","Mae Millicent W Peterseim","American journal of ophthalmology",2023,"Savannah","female",98,2751,"Mae","female",92,1977
"47","56) Intraindividual Comparison Of An Enhanced Monofocal And An Aspheric Monofocal Intraocular Lens Of The Same Platform.","Victor Danzinger","Christina Leydolt","American journal of ophthalmology",2023,"Victor","male",99,78043,"Christina","female",94,36391
"48","57) Large Language Models in Ophthalmology Scientific Writing: Ethical Considerations Blurred Lines or Not at All?","Ali Salimi","Hady Saheb","American journal of ophthalmology",2023,"Ali","male",93,240864,"Hady","male",93,1418
"49","58) Cataracts Across the Tree of Life: A Roadmap for Prevention and Biomedical Innovation.","B Natterson-Horowitz","Daniel T Blumstein","American journal of ophthalmology",2023,"B","male",83,35,"Daniel","male",99,257742
"50","59) Longitudinal Analysis of Ocular Manifestation and Interleukin During Intravitreal Treatment of Vitreoretinal Lymphoma With Methotrexate.","Junxiang Gu","Qing Chang","American journal of ophthalmology",2023,"Junxiang","male",100,16,"Qing","female",58,728
"51","60) Erratum to ""Development and validation of a novel nomogram for predicting the occurrence of myopia in schoolchildren: A prospective cohort study"" [American Journal of Ophthalmology 242 (2022) 96-106].","Chengnan Guo","Hao Chen","American journal of ophthalmology",2023,"Chengnan","male",94,16,"Hao","male",85,2143
"52","61) Prevalence and Severity of Glaucoma in the California Medicare Population.","Victoria L Tseng","Anne L Coleman","American journal of ophthalmology",2023,"Victoria","female",98,33384,"Anne","female",98,48855
"53","62) Endophthalmitis Associated With XEN Stent Implantation.","Benjamin R Lin","Harry W Flynn","American journal of ophthalmology",2023,"Benjamin","male",99,50718,"Harry","male",98,24473
"54","63) A Systematic Review and Meta-analysis of Systemic Antihypertensive Medications With Intraocular Pressure and Glaucoma.","Gareth Leung","Ellen E Freeman","American journal of ophthalmology",2023,"Gareth","male",99,5798,"Ellen","female",99,12944
"55","64) Fluctuation of Intraocular Pressure and Vascular Factors Are Associated With the Development of Epiretinal Membrane in Glaucoma.","Da Young Shin","Chan Kee Park","American journal of ophthalmology",2023,"Da","male",74,4094,"Chan","male",68,4408
"56","65) Comparison of Ganglion Cell Layer and Inner Plexiform Layer Rates of Change in Suspected and Established Glaucoma.","Massood Mohammadi","Kouros Nouri-Mahdavi","American journal of ophthalmology",2023,"Massood","male",100,24,"Kouros","male",97,74
"57","66) Prevalence and Economic Burden of Keratoconus in the United States.","Rohan Bir Singh","Vishal Jhanji","American journal of ophthalmology",2023,"Rohan","male",100,13393,"Vishal","male",100,18242
"58","67) Impact of Ocular Conditions and Improvements After Refractive Surgery in Quality of Life for Children With Neurodevelopmental Disorders.","Alexandra Zdonczyk","Margaret Reynolds","American journal of ophthalmology",2023,"Alexandra","female",98,53680,"Margaret","female",98,12383
"59","69) The Association of Vision Concerns With the Physical and Mental Well-being of Adolescents in the United States.","Sean Teebagy","Isdin Oke","American journal of ophthalmology",2023,"Sean","male",99,37072,"Isdin","male",75,4
"60","71) The ""Time in Range"" Concept in Ophthalmology.","Igor Kozak","Michael W Stewart","American journal of ophthalmology",2023,"Igor","male",99,31134,"Michael","male",99,211741
"61","72) Leadership in Ophthalmology Professional Organizations: A Descriptive Analysis and Trends, 2002-2022.","Rachel H Lee","Alana L Grajewski","American journal of ophthalmology",2023,"Rachel","female",98,41104,"Alana","female",98,3605
"62","73) Readability and Quality of Online Information on Sickle Cell Retinopathy for Patients.","Zulfiya Emefa Edugle Gbedemah","Kwesi Nyan Amissah-Arthur","American journal of ophthalmology",2023,"Zulfiya","female",99,102,"Kwesi","male",98,570
"63","74) Multimodal Imaging Characteristics and Risk Factors Analysis of Waldenström Macroglobulinemia Retinopathy.","Huan Chen","Jun Feng","American journal of ophthalmology",2023,"Huan","male",84,956,"Jun","male",88,6829
"64","75) Analysis of Facial Features of Patients With Sagging Eye Syndrome and Intermittent Exotropia Compared to Controls.","Keiko Kunimi","Eri Ishikawa","American journal of ophthalmology",2023,"Keiko","female",95,723,"Eri","male",53,2730
"65","76) Parental Corneal Tomographic and Biomechanical Characteristics of Patients With Keratoconus.","Jie Li","Xianli Du","American journal of ophthalmology",2023,"Jie","male",61,1651,"Xianli","male",70,10
"66","77) Primary Practice Emphasis Area and Diversity among Board-Certified Ophthalmologists.","Karine Duarte Bojikian","Shu Feng","American journal of ophthalmology",2023,"Karine","female",96,23078,"Shu","male",63,1030
"67","78) Manhattan Vision Screening and Follow-up Study (NYC-SIGHT): Baseline Results and Costs of a Cluster-Randomized Trial.","Lisa A Hark","George A Cioffi","American journal of ophthalmology",2023,"Lisa","female",98,75562,"George","male",99,63411
"68","80) Detailed Clinical, Ophthalmic, and Genetic Characterization of ADGRV1-Associated Usher Syndrome.","Malena Daich Varela","Michel Michaelides","American journal of ophthalmology",2023,"Malena","female",98,1687,"Michel","male",96,68146
"69","81) Rotational Stability, Decentration, and Tilt of a New Hydrophobic Acrylic Intraocular Lens Platform.","Veronika Röggla","Rupert Menapace","American journal of ophthalmology",2023,"Veronika","female",99,31200,"Rupert","male",98,1040
"70","82) Inventory of Ocular Pulse Amplitude values in healthy subjects and patients with ophthalmologic illnesses: Systematic review and meta-analysis.","Tania D Shajiei","Christoph Kniestedt","American journal of ophthalmology",2023,"Tania","female",98,26196,"Christoph","male",99,9324
"71","83) Outcomes and Clinical Features Predictive of Fungal Endophthalmitis.","Aaron Z Priluck","Mark P Breazzano","American journal of ophthalmology",2023,"Aaron","male",99,36714,"Mark","male",80,5
