"","Title","First Author","Last Author","Journal","Year","First Author First Name","First Author Gender","First Author Accuracy","First Author Samples","Last Author First Name","Last Author Gender","Last Author Accuracy","Last Author Samples"
"1","2) KESTREL and KITE: 52-Week Results From Two Phase III Pivotal Trials of Brolucizumab for Diabetic Macular Edema.","David M Brown","Justus G Garweg","American journal of ophthalmology",2022,"David","male",99,381770,"Justus","female",70,4063
"2","4) Modernizing the American Journal of Ophthalmology: Social Media, Podcasts, and Digital Illustrations.","Nimesh A Patel","Richard K Parrish","American journal of ophthalmology",2022,"Nimesh","male",100,921,"Richard","male",99,97659
"3","7) The Role of Counseling in Ophthalmology.","Ferenc Kuhn","Andrzej Grzybowski","American journal of ophthalmology",2022,"Ferenc","male",99,7090,"Andrzej","male",99,22799
"4","15) The Association of Choroidal Thickening by Atropine With Treatment Effects for Myopia: Two-Year Clinical Trial of the Low-concentration Atropine for Myopia Progression (LAMP) Study.","Jason C Yam","Li Jia Chen","American journal of ophthalmology",2022,"Jason","male",99,76567,"Li","female",51,4165
"5","18) COVID-19 Vaccination and The Eye.","Michael T M Wang","Helen V Danesh-Meyer","American journal of ophthalmology",2022,"Michael","male",99,211741,"Helen","female",98,23138
"6","19) How Can We Quantify and Compare Harm in Surgical Trials?","Jesa Nadine Protasio","Augusto Azuara-Blanco","American journal of ophthalmology",2022,"Jesa","female",68,85,"Augusto","male",99,7854
"7","21) Comparison of Fundus Autofluorescence Versus Optical Coherence Tomography-based Evaluation of the Therapeutic Response to Pegcetacoplan in Geographic Atrophy.","Julia Mai","Ursula Schmidt-Erfurth","American journal of ophthalmology",2022,"Julia","female",97,57688,"Ursula","female",98,5883
"8","23) Scleritis in Lyme Disease.","Meghan K Berkenstock","Douglas A Jabs","American journal of ophthalmology",2022,"Meghan","female",99,4390,"Douglas","male",99,18529
"9","30) Mendelian Randomization Shows a Causal Effect of Low Vitamin D on Non-infectious Uveitis and Scleritis Risk.","Gayatri Susarla","Lucia Sobrin","American journal of ophthalmology",2022,"Gayatri","female",96,1156,"Lucia","female",98,49100
"10","32) Trends in Racial and Ethnic Diversity of Ophthalmology Residents and Residency Applicants.","Ugochi T Aguwa","Fasika Woreta","American journal of ophthalmology",2022,"Ugochi","female",91,171,"Fasika","male",53,53
"11","33) Causal Associations of Thyroid Function and Age-Related Macular Degeneration: A Two-Sample Mendelian Randomization Study.","Xi Li","A-Yong Yu","American journal of ophthalmology",2022,"Xi","male",52,575,"A-Yong","male",87,2262
"12","36) Subconjunctival dirofilariasis.","Adam Wylęgała","Edward Wylęgała","American journal of ophthalmology",2022,"Adam","male",99,101750,"Edward","male",99,24073
"13","37) Shared Decision Making in Ophthalmology: A Scoping Review.","Michael Bouaziz","Anne Barmettler","American journal of ophthalmology",2022,"Michael","male",99,211741,"Anne","female",98,48855
"14","40) Lens Epithelial Cell Removal in Routine Phacoemulsification: Is It Worth the Bother?","Erica Darian-Smith","Minas T Coroneo","American journal of ophthalmology",2022,"Erica","female",98,19226,"Minas","male",94,545
"15","41) The Significance of Female Faculty and Department Leadership to the Gender Balance of Ophthalmology Residents.","Tova Goldstein","Jamie B Rosenberg","American journal of ophthalmology",2022,"Tova","female",89,267,"Jamie","male",59,29424
"16","45) Association of Obesity and Incidence of Third, Fourth, and Sixth Cranial Nerve Palsies.","Daye Diana Choi","Sei Yeul Oh","American journal of ophthalmology",2022,"Daye","male",67,97,"Sei","male",71,254
"17","46) Iris Racemose Hemangioma.","Nicholas Kalafatis","Carol L Shields","American journal of ophthalmology",2022,"Nicholas","male",100,21206,"Carol","female",97,29790
